SampleID	Stage	Reads
IM-24-030-RGPV_S91	No Dimers	242572
IM-24-030-RGPV_S91	Amplicons	226398
IM-24-030-RGPV_S91	OutputDada2	209717
IM-24-030-RGPV_S91	OutputPostprocessing	208399
IM-24-030-RHSC_S464	Input	284717
IM-24-030-RHSC_S464	No Dimers	284177
IM-24-030-RHSC_S464	Amplicons	262798
IM-24-030-RHSC_S464	OutputDada2	242994
IM-24-030-RHSC_S464	OutputPostprocessing	241354
IM-24-030-RKXW_S70	Input	252080
IM-24-030-RKXW_S70	No Dimers	248583
IM-24-030-RKXW_S70	Amplicons	231175
IM-24-030-RKXW_S70	OutputDada2	214087
IM-24-030-RKXW_S70	OutputPostprocessing	212763
IM-24-030-RNJA_S467	Input	309384
IM-24-030-RNJA_S467	No Dimers	309095
IM-24-030-RNJA_S467	Amplicons	285320
IM-24-030-RNJA_S467	OutputDada2	263989
IM-24-030-RNJA_S467	OutputPostprocessing	262086
IM-24-030-RPDU_S452	Input	339466
IM-24-030-RPDU_S452	No Dimers	338944
IM-24-030-RPDU_S452	Amplicons	314591
IM-24-030-RPDU_S452	OutputDada2	292914
IM-24-030-RPDU_S452	OutputPostprocessing	291966
IM-24-030-RSFB_S456	Input	292648
IM-24-030-RSFB_S456	No Dimers	291754
IM-24-030-RSFB_S456	Amplicons	269797
IM-24-030-RSFB_S456	OutputDada2	248990
IM-24-030-RSFB_S456	OutputPostprocessing	246974
IM-24-030-SBPN_S92	Input	168147
IM-24-030-SBPN_S92	No Dimers	167978
IM-24-030-SBPN_S92	Amplicons	156953
IM-24-030-SBPN_S92	OutputDada2	144509
IM-24-030-SBPN_S92	OutputPostprocessing	143608
IM-24-030-SYFU_S80	Input	329980
IM-24-030-SYFU_S80	No Dimers	328055
IM-24-030-SYFU_S80	Amplicons	304268
IM-24-030-SYFU_S80	OutputDada2	281705
IM-24-030-SYFU_S80	OutputPostprocessing	280063
IM-24-030-TBBG_S192	Input	245380
IM-24-030-TBBG_S192	No Dimers	241302
IM-24-030-TBBG_S192	Amplicons	224079
IM-24-030-TBBG_S192	OutputDada2	207812
IM-24-030-TBBG_S192	OutputPostprocessing	205342
IM-24-030-TMSA_S88	Input	382420
IM-24-030-TMSA_S88	No Dimers	380340
IM-24-030-TMSA_S88	Amplicons	353933
IM-24-030-TMSA_S88	OutputDada2	327424
IM-24-030-TMSA_S88	OutputPostprocessing	326163
IM-24-030-TVYY_S177	Input	331228
IM-24-030-TVYY_S177	No Dimers	327720
IM-24-030-TVYY_S177	Amplicons	303387
IM-24-030-TVYY_S177	OutputDada2	281042
IM-24-030-TVYY_S177	OutputPostprocessing	279053
IM-24-030-TXUH_S458	Input	146077
IM-24-030-TXUH_S458	No Dimers	145872
IM-24-030-TXUH_S458	Amplicons	134174
IM-24-030-TXUH_S458	OutputDada2	124144
IM-24-030-TXUH_S458	OutputPostprocessing	123514
IM-24-030-URLT_S163	Input	185722
IM-24-030-URLT_S163	No Dimers	184120
IM-24-030-URLT_S163	Amplicons	171114
IM-24-030-URLT_S163	OutputDada2	157690
IM-24-030-URLT_S163	OutputPostprocessing	157147
IM-24-030-VGJZ_S167	Input	444776
IM-24-030-VGJZ_S167	No Dimers	442262
IM-24-030-VGJZ_S167	Amplicons	409421
IM-24-030-VGJZ_S167	OutputDada2	378407
IM-24-030-VGJZ_S167	OutputPostprocessing	375132
IM-24-030-WPSF_S189	Input	197824
IM-24-030-WPSF_S189	No Dimers	197117
IM-24-030-WPSF_S189	Amplicons	183330
IM-24-030-WPSF_S189	OutputDada2	169918
IM-24-030-WPSF_S189	OutputPostprocessing	168701
IM-24-030-WQHK_S82	Input	237332
IM-24-030-WQHK_S82	No Dimers	235991
IM-24-030-WQHK_S82	Amplicons	219186
IM-24-030-WQHK_S82	OutputDada2	202505
IM-24-030-WQHK_S82	OutputPostprocessing	201393
IM-24-030-WZVY_S77	Input	154734
IM-24-030-WZVY_S77	No Dimers	153882
IM-24-030-WZVY_S77	Amplicons	143225
IM-24-030-WZVY_S77	OutputDada2	132407
IM-24-030-WZVY_S77	OutputPostprocessing	131691
IM-24-030-XAKD_S175	Input	69828
IM-24-030-XAKD_S175	No Dimers	67447
IM-24-030-XAKD_S175	Amplicons	62801
IM-24-030-XAKD_S175	OutputDada2	58104
IM-24-030-XAKD_S175	OutputPostprocessing	57638
IM-24-030-XKPN_S75	Input	273798
IM-24-030-XKPN_S75	No Dimers	272246
IM-24-030-XKPN_S75	Amplicons	253924
IM-24-030-XKPN_S75	OutputDada2	234648
IM-24-030-XKPN_S75	OutputPostprocessing	233558
IM-24-030-XQCP_S463	Input	313638
IM-24-030-XQCP_S463	No Dimers	312683
IM-24-030-XQCP_S463	Amplicons	288890
IM-24-030-XQCP_S463	OutputDada2	267238
IM-24-030-XQCP_S463	OutputPostprocessing	265649
IM-24-030-XVKA_S178	Input	217267
IM-24-030-XVKA_S178	No Dimers	215101
IM-24-030-XVKA_S178	Amplicons	199406
IM-24-030-XVKA_S178	OutputDada2	184680
IM-24-030-XVKA_S178	OutputPostprocessing	183937
IM-24-030-ZCCV_S66	Input	412307
IM-24-030-ZCCV_S66	No Dimers	410104
IM-24-030-ZCCV_S66	Amplicons	381293
IM-24-030-ZCCV_S66	OutputDada2	353118
IM-24-030-ZCCV_S66	OutputPostprocessing	351623
IM-24-030-ZRAF_S457	Input	220109
IM-24-030-ZRAF_S457	No Dimers	217313
IM-24-030-ZRAF_S457	Amplicons	200600
IM-24-030-ZRAF_S457	OutputDada2	185351
IM-24-030-ZRAF_S457	OutputPostprocessing	184359
IM-24-036-AKGG_S11	Input	191650
IM-24-036-AKGG_S11	No Dimers	190807
IM-24-036-AKGG_S11	Amplicons	177795
IM-24-036-AKGG_S11	OutputDada2	164441
IM-24-036-AKGG_S11	OutputPostprocessing	164080
IM-24-036-BGHB_S117	Input	125844
IM-24-036-BGHB_S117	No Dimers	124627
IM-24-036-BGHB_S117	Amplicons	115939
IM-24-036-BGHB_S117	OutputDada2	106953
IM-24-036-BGHB_S117	OutputPostprocessing	106475
IM-24-036-BHMX_S9	Input	260817
IM-24-036-BHMX_S9	No Dimers	254850
IM-24-036-BHMX_S9	Amplicons	235755
IM-24-036-BHMX_S9	OutputDada2	217958
IM-24-036-BHMX_S9	OutputPostprocessing	217568
IM-24-036-BSTZ_S1	Input	302526
IM-24-036-BSTZ_S1	No Dimers	300566
IM-24-036-BSTZ_S1	Amplicons	278920
IM-24-036-BSTZ_S1	OutputDada2	257944
IM-24-036-BSTZ_S1	OutputPostprocessing	257786
IM-24-036-CQKW_S123	Input	99682
IM-24-036-CQKW_S123	No Dimers	97779
IM-24-036-CQKW_S123	Amplicons	90966
IM-24-036-CQKW_S123	OutputDada2	84077
IM-24-036-CQKW_S123	OutputPostprocessing	83750
IM-24-036-FGTR_S29	Input	132276
IM-24-036-FGTR_S29	No Dimers	131424
IM-24-036-FGTR_S29	Amplicons	122914
IM-24-036-FGTR_S29	OutputDada2	113660
IM-24-036-FGTR_S29	OutputPostprocessing	113211
IM-24-036-FQLN_S429	Input	126967
IM-24-036-FQLN_S429	No Dimers	126014
IM-24-036-FQLN_S429	Amplicons	116028
IM-24-036-FQLN_S429	OutputDada2	107469
IM-24-036-FQLN_S429	OutputPostprocessing	107180
IM-24-036-GFSY_S2	Input	235767
IM-24-036-GFSY_S2	No Dimers	235128
IM-24-036-GFSY_S2	Amplicons	218457
IM-24-036-GFSY_S2	OutputDada2	201696
IM-24-036-GFSY_S2	OutputPostprocessing	201376
IM-24-036-GKAQ_S100	Input	294581
IM-24-036-GKAQ_S100	No Dimers	292655
