SampleID	Stage	Reads
IM-24-036-RQDV_S17_L001	OutputPostprocessing	164307
IM-24-036-SBXS_S22_L001	Input	110115
IM-24-036-SBXS_S22_L001	No Dimers	108458
IM-24-036-SBXS_S22_L001	Amplicons	100959
IM-24-036-SBXS_S22_L001	OutputDada2	100179
IM-24-036-SBXS_S22_L001	OutputPostprocessing	99838
IM-24-036-UJRS_S14_L001	Input	61858
IM-24-036-UJRS_S14_L001	No Dimers	61287
IM-24-036-UJRS_S14_L001	Amplicons	57135
IM-24-036-UJRS_S14_L001	OutputDada2	56730
IM-24-036-UJRS_S14_L001	OutputPostprocessing	56539
IM-24-036-WCRJ_S26_L001	Input	174287
IM-24-036-WCRJ_S26_L001	No Dimers	173222
IM-24-036-WCRJ_S26_L001	Amplicons	160645
IM-24-036-WCRJ_S26_L001	OutputDada2	159219
IM-24-036-WCRJ_S26_L001	OutputPostprocessing	158810
IM-24-036-WFBS_S24_L001	Input	191572
IM-24-036-WFBS_S24_L001	No Dimers	189741
IM-24-036-WFBS_S24_L001	Amplicons	175505
IM-24-036-WFBS_S24_L001	OutputDada2	173552
IM-24-036-WFBS_S24_L001	OutputPostprocessing	172466
IM-24-036-WGUS_S13_L001	Input	75488
IM-24-036-WGUS_S13_L001	No Dimers	74906
IM-24-036-WGUS_S13_L001	Amplicons	69674
IM-24-036-WGUS_S13_L001	OutputDada2	69236
IM-24-036-WGUS_S13_L001	OutputPostprocessing	69165
IM-24-036-YMPJ_S20_L001	Input	61215
IM-24-036-YMPJ_S20_L001	No Dimers	60852
IM-24-036-YMPJ_S20_L001	Amplicons	56628
IM-24-036-YMPJ_S20_L001	OutputDada2	56160
IM-24-036-YMPJ_S20_L001	OutputPostprocessing	56061
IM-24-036-ZFNA_S3_L001	Input	106632
IM-24-036-ZFNA_S3_L001	No Dimers	106244
IM-24-036-ZFNA_S3_L001	Amplicons	98626
IM-24-036-ZFNA_S3_L001	OutputDada2	97988
IM-24-036-ZFNA_S3_L001	OutputPostprocessing	97855
IM-24-036-ZQVB_S25_L001	Input	194759
IM-24-036-ZQVB_S25_L001	No Dimers	193875
IM-24-036-ZQVB_S25_L001	Amplicons	179532
IM-24-036-ZQVB_S25_L001	OutputDada2	178356
IM-24-036-ZQVB_S25_L001	OutputPostprocessing	178113
IM-24-036-ZTTN_S38_L001	Input	143198
IM-24-036-ZTTN_S38_L001	No Dimers	140880
IM-24-036-ZTTN_S38_L001	Amplicons	130909
IM-24-036-ZTTN_S38_L001	OutputDada2	130195
IM-24-036-ZTTN_S38_L001	OutputPostprocessing	128910
IM-24-044-AGYR_S58_L001	Input	145551
IM-24-044-AGYR_S58_L001	No Dimers	144273
IM-24-044-AGYR_S58_L001	Amplicons	134544
IM-24-044-AGYR_S58_L001	OutputDada2	133838
IM-24-044-AGYR_S58_L001	OutputPostprocessing	133306
IM-24-044-ASXY_S57_L001	Input	264946
IM-24-044-ASXY_S57_L001	No Dimers	263519
IM-24-044-ASXY_S57_L001	Amplicons	245269
IM-24-044-ASXY_S57_L001	OutputDada2	243881
IM-24-044-ASXY_S57_L001	OutputPostprocessing	243050
IM-24-044-BJBV_S59_L001	Input	129897
IM-24-044-BJBV_S59_L001	No Dimers	129051
IM-24-044-BJBV_S59_L001	Amplicons	120430
IM-24-044-BJBV_S59_L001	OutputDada2	119485
IM-24-044-BJBV_S59_L001	OutputPostprocessing	118813
IM-24-044-BLAP_S61_L001	Input	118103
IM-24-044-BLAP_S61_L001	No Dimers	116987
IM-24-044-BLAP_S61_L001	Amplicons	108740
IM-24-044-BLAP_S61_L001	OutputDada2	108099
